순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
12,BMK000417579,"마인드 스쿨. 20, 우울할 땐 어떡해?","네온비 ,정다정 글 ; 도도 그림",고릴라박스,J 190-마69-20,[남부]어린이열람실,8
13,BMK000337301,소나무인문사전,한국지역인문자원연구소 편,Human & books,001.3-소211,[남부]보존서고1,8
14,BMK000422341,우리들의 MBTI : 나의 성격을 이해하고 더 멋진 내가 되는,조수연 ;  ; 전판교 지음 ;  ; 소윤 그림,다산어린이,J 182-조57ㅇ,[남부]어린이열람실,8
15,BMK000420998,"마법천자문 : 손오공의 한자 대탐험. 51, 찬란하게 빛나라! 빛날 휘",유대영 글 ; 홍거북 그림,아울북,J 711.47-시239ㅁ-51,[남부]어린이열람실,8
16,BMK000425305,"밍꼬발랄 코믹스. 11, 수상한 시선",김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.7-김94ㅁ-11,[남부]어린이열람실,8
17,BMK000424719,"그리스 로마 신화. 21, 신이 선택한 인간, 헤라클레스의 탄생",박시연 글 ; 최우빈 그림,북이십일 아울북,J 219-박59ㄱ-21=3,[남부]어린이열람실,8
18,BMK000425073,엄마 관찰사전,전현정 글 ; 김유대 그림,주니어 김영사,J 813.7-전94ㅇ,[남부]어린이열람실,8
19,BMK000422545,모여 봐요 동물의 숲 : 섬 주민들을 위한 필수 안내서 : unofficial book,클레어 리스터 지음 ; 이현수 옮김,제제의숲,J 691-리58ㅁ,[남부]어린이열람실,8
20,BMK000422574,"(간니닌니) 마법의 도서관. 5:, 빨간 머리 앤",지유리 글 ; 이경희 그림,아울북,J 813.7-마43-5,[남부]어린이열람실,8
21,BMK000424883,"마인드 스쿨. 14:, 채소는 정말 싫어! : 식습관이 쭉 좋아지는 책",소노수정 글·그림,고릴라박스(비룡소),J 190-마69-14=2,[남부]어린이열람실,8
22,BMK000425276,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 4,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-흔91ㅎ-4,[남부]어린이열람실,8
23,BMK000427478,(흔한 남매)안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,아이세움,J 816.7-흔91ㅇ-2=3,[남부]어린이열람실,8
24,BMK000424896,마인드 스쿨. 8: 게임을 그만둘 수 없어!,이윤희 글·그림,고릴라박스,J 190-마69-8,[남부]어린이열람실,8
25,BMK000422519,"내일은 발명왕 : 본격 대결 과학발명 만화. 3, 합칠수록 밝아지는 빛",글: 곰돌이 co ; 그림: 홍종현,아이세움,J 507.5-곰225ㄴ-3=2,[남부]어린이열람실,8
26,BMK000420910,흔한남매. 8,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirae N 아이세움,J 813.7-흔91ㅎ-8,[남부]어린이열람실,8
27,BMK000422385,(만화) 열두 살에 부자가 된 키라. 1,보도 섀퍼 원작 ; 권용찬 글 ; 김수지 그림,아울북,J 320-섀843ㅇ-1,[남부]어린이열람실,8
28,BMK000427479,(흔한남매) 안 흔한 일기. 3,흔한남매 원작 ; 강효미 글 ; 조병주 그림,MireaN·아이세움,J 816.7-흔91ㅇ-3=3,[남부]어린이열람실,8
29,BMK000401129,(흔한남매) 안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,MiraeN아이세움,J 816.7-흔91ㅇ-2,[남부]어린이열람실,8
30,BMK000393522,(이상한 과자 가게)전천당. 3-4,히로시마 레이코 지음 ; 김정화 옮김 ; 쟈쟈그림,길벗스쿨,J 833.6-히235ㅈ-4,[남부]어린이열람실,8
31,BMK000393601,흔한남매. 1-2,흔한남매 원작 ; 백난도 글 ; 유난희 그림,미래엔,J 813.7-흔91ㅎ-2=2,[남부]어린이열람실,8
