순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
135,BMK000433163,부자 아빠 가난한 아빠 : 부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판,로버트 기요사키 지음 ; 안진환 옮김,민음인,327.04-기66ㅂ=2,[남부]종합자료실,6
136,BMK000433190,"오히려 좋아, 인플레이션 : 버스비 인상에 울상 짓던 내가, 집값 상승에도 여유 있는 이유",신동원 지음,길벗,327.04-신225ㅇ,[남부]종합자료실,6
137,BMK000430677,"(설민석의)세계사 대모험. 11, 영국 산업 혁명 편-혁명에 맞선 자들",설민석 ; 김정욱 [공]글 ; 박성일 그림,단꿈아이,J 909-설39ㅅ-11,[남부]어린이열람실,6
138,BMK000430665,"마법천자문. 52, 불러 모아라! 모을 모",유대영 글 ; 홍거북 그림,아울북,J 711.47-시239ㅁ-52,[남부]어린이열람실,6
139,BMK000430573,달콩이네 떡집,김리리 글 ; 김이랑 그림,비룡소,J 813.8-김239ㄷ,[남부]어린이열람실,6
140,BMK000432449,봉주르 요리 교실 실종 사건,김근혜 글 ; 안은진 그림,보랏빛소,J 813.7-김18ㅂ,[남부]어린이열람실,6
141,BMK000433186,엄마를 위한 미라클 모닝 : 어떤 방해 없이 온전히 나만을 위한 새벽 2시간 활용법,최정윤 지음,빌리버튼,325.211-최73ㅇ,[남부]종합자료실,6
142,BMK000430488,웰씽킹=Wealthinking : 부를 창조하는 생각의 뿌리,켈리 최 지음,다산북스,325.211-최823ㅇ,[남부]종합자료실,6
143,BMK000430568,하루를 48시간으로 사는 마법 : 방송국 헤르미온느 이재은의 삶을 빛나게 하는 마법의 주문,이재은 지음,비즈니스북스,325.211-이72ㅎ,[남부]종합자료실,6
144,BMK000433718,피어클리벤의 금화 : 신서로 장편소설. 1,지은이: 신서로,황금가지,813.7-신53ㅍ-1,[남부]종합자료실,6
145,BMK000432458,빵도둑,시바타 케이코 글·그림 ; 황진희 옮김,길벗어린이,MC 833.8-시41ㅃ=2,[남부]어린이열람실,6
146,BMK000433719,피어클리벤의 금화 : 신서로 장편소설. 2,신서로 지음,황금가지,813.7-신53ㅍ-2,[남부]종합자료실,6
147,BMK000433121,"100조를 움직이는 사람들=People who move 100 trillion : 자본시장과 투자의 미래, 사모펀드 이야기","최우석,조세훈 지음",흐름출판,327.8-최67ㅂ,[남부]종합자료실,6
148,BMK000433581,서영동 이야기,조남주 지음,한겨레,813.7-조211ㅅ=2,[남부]종합자료실,6
149,BMK000432519,양순이네 떡집,김리리 글 ; 김이랑 그림,비룡소,J 813.7-김239ㅇ=3,[남부]어린이열람실,6
150,BMK000433648,웰컴 투 로열타운=Welcome to royal town : 곽영임 미스터리 스릴러,지은이: 곽영임,고즈넉이엔티,813.7-곽64ㅇ,[남부]종합자료실,6
151,BMK000432627,(읽으면서 바로 써먹는) 어린이 한국사 퀴즈. 1,글·그림: 한날,파란정원,J 911-한211ㅇ-1,[남부]어린이열람실,6
152,BMK000432401,냠냠 월드,남온유 글 ; 허아성 그림,리틀씨앤톡,J 813.7-남65ㄴ,[남부]어린이열람실,6
153,BMK000432371,"고양이 해결사 깜냥. 1, 아파트의 평화를 지켜라!",홍민정 동화 ; 김재희 그림,창비,J 813.7-홍39ㄱ-1=3,[남부]어린이열람실,6
154,BMK000432372,"고양이 해결사 깜냥 : 홍민정 동화. 2, 최고의 요리에 도전하라!",홍민정 지음 ; 김재희 그림,창비,J 813.7-홍39ㄱ-2=2,[남부]어린이열람실,6
